"API Name","Action","Populated On(Total Record)","Is Required?","Type","Label"
"Existing_Product_Families_of_Interest__c","keep","76.0","False","STRING","Existing Product Solution of Interest"
"Expected_Delivery_Date__c","keep","36.0","False","DATE","Expected Delivery Date"
"Expected_Instrument_Ship_Date__c","keep","3091.0","False","DATE","Instrument Ship Date"
"Finance_and_Legal_Updated__c","remove_zero_populated_not_required","0.0","False","BOOLEAN","Finance and Legal Updated"
"First_Year_Amount__c","keep","32627.0","False","DOUBLE(Formula)","First Year Amount"
"FoC_Approver__c","remove_zero_populated_not_required","0.0","False","ID","FoC Approver"
"FoC_Kit_Approver_is_Me__c","keep","62266.0","True","BOOLEAN(Formula)","FoC Kit Approver is Me"
"FoC_Kit_List__c","remove_zero_populated_not_required","0.0","False","STRING","FoC Kit List"
"FoC_Product_Name__c","remove_zero_populated_not_required","0.0","False","STRING","FoC Product Name"
"FoC_Quantity__c","remove_zero_populated_not_required","0.0","False","DOUBLE","FoC Quantity"
"FoC_Request_Date__c","remove_zero_populated_not_required","0.0","False","DATE","FoC Request Date"
"FoC_Status__c","remove_zero_populated_not_required","0.0","False","STRING","FoC Status"
"Forecast__c","remove_zero_populated_not_required","0.0","False","BOOLEAN","Forecast"
"Former_Brand_Cooperation_Date__c","remove_zero_populated_not_required","0.0","False","DATE","Former Brand Cooperation Date"
"Funded__c","remove_zero_populated_not_required","0.0","False","STRING","Funded"
"GPO_CAT__c","remove_deploy_blocker_account_recordtype_formula","2.0","False","ID","GPO"
"Growth_Click_ID__c","keep","6.0","False","STRING","Growth Click ID"
"Growth_or_Trouble_mode__c","remove_zero_populated_not_required","0.0","False","STRING","Growth or Trouble mode"
"Hardware_purchase_method__c","keep","7.0","False","STRING","Hardware purchase method"
"Have_a_coach_es_in_the_account__c","remove_zero_populated_not_required","0.0","False","STRING","Have a coach(es) in the account"
"High_Potential_Protein_Volume__c","remove_zero_populated_not_required","0.0","False","STRING","High Potential Protein Volume"
"Hospital_Department__c","keep","2.0","False","STRING","(Hospital) Department"
"IDD_EU_Count_of_products__c","keep","62261.0","False","DOUBLE","IDD EU Count of products"
"IDD_Health_System_Opportunity__c","keep","2.0","False","STRING","IDD Health System Opportunity"
"IDD_Region__c","keep","62187.0","False","STRING","IDD Region"
"IFSCode__c","remove_zero_populated_not_required","0.0","False","STRING","IFS Code"
"IPortal_Enabled_Product__c","remove_zero_populated_not_required","0.0","False","ID","IPortal Enabled Product"
"In_Forecast__c","remove_zero_populated_not_required","0.0","False","STRING","In Forecast"
"In_Hospital_Price__c","remove_zero_populated_not_required","0.0","False","DOUBLE","In Hospital Price"
"Include_to_Funnel__c","keep","37461.0","False","BOOLEAN","Include to Funnel"
"Includes_Hardwares__c","keep","11.0","False","STRING","Includes NEW Hardware (not refurb)?"
"Indication__c","remove_zero_populated_not_required","0.0","False","STRING","Indication"
"Indiko_ISE_Qty__c","remove_zero_populated_not_required","0.0","False","DOUBLE","Indiko ISE (Qty)"
"Indiko_Plus_ISE_Qty__c","remove_zero_populated_not_required","0.0","False","DOUBLE","Indiko Plus ISE (Qty)"
"Indiko_Plus_Qty__c","remove_zero_populated_not_required","0.0","False","DOUBLE","Indiko Plus (Qty)"
"Indiko_Qty__c","remove_zero_populated_not_required","0.0","False","DOUBLE","Indiko (Qty)"
"Initial_Order_Value__c","keep","18.0","False","DOUBLE","Initial Order Value"
"Initial_Quote_Issued__c","keep","2.0","False","DATE","Initial Quote Issued"
"Installation_Date__c","remove_zero_populated_not_required","0.0","False","DATE","Installation Date"
"Installation_Status__c","keep","2.0","False","STRING","Installation Status"
